Item Code,Item Name,Item Group,Item category,Item Sub-Category,
CMCC-0001-ELMEX,MC4 Connector for 4 sqmm DC Cable - FEMALE - 32.0016P0001-UR-ELMEX,MC4 Connector,Electrical BoS,MC4 Connector,
MDCR-0046-Waree,550 Wp Mono Non DCR-Waree,Non DCR,Module,Mono Non DCR (all makes),
EALA-0033-SGI,"HDG LA Supporting Mast 5 Mtr with base plate, insulator, guy wire and fixing accessories-SGI",LA Accessory,Earthing & LA,LA Stand,
EARO-0011-SGI,Copper Bonded Earthing Rod with Clamp - 17.2mm Dia - 2 Mtr - 250 micron-SGI,Earthing Rod,Earthing & LA,Earthing Rod,
MDCR-0032-RAYZON,550 Wp Mono Bifacial Non DCR-RAYZON,Non DCR,Module,Mono Bifacial Non DCR (all makes),
KITS-0027,Electrical Accessories Kit - 12,Kitt,Electrical BoS,Electrical Accessories Kit,
KITS-0026,Electrical Accessories Kit - 11,Kitt,Electrical BoS,Electrical Accessories Kit,
KITS-0025,Electrical Accessories Kit - 10,Kitt,Electrical BoS,Electrical Accessories Kit,
KITS-0024,Electrical Accessories Kit - 9,Kitt,Electrical BoS,Electrical Accessories Kit,
KITS-0023,Electrical Accessories Kit - 8,Kitt,Electrical BoS,Electrical Accessories Kit,
KITS-0022,Electrical Accessories Kit - 7,Kitt,Electrical BoS,Electrical Accessories Kit,
INVS-0208-SUNGROW,20 kW 3 Phase Inverter SG20RT-SUNGROW,II Gen,Inverter,3 Ph String Inverter,
NMTR-0085-L&T,"10-60A, Class 1, EM101+ 1P 2W 240V DLMS, Single Phase Net Meter for RJ DISCOM-L&T",Net Meter,Metering,Net Meter,
NMTR-0045-L&T,"ABT Meter Three Phase Schneider Electric - CTR -/5A, PTR 11kV/110V, CLASS 0.2s for MSEDCL, CAT No-WR300BB51ABTMSEDCL-L&T",Net Meter,Metering,Net Meter,
GMTR-0018-L&T,Three Phase 100/5 Unidirectional Generation Energy Meter-L&T,Generation Meter,Metering,Generation Meter,
SADD-0010-Infraduct,DWC Saddle - 40mm-Infraduct,Saddle,Conduit Pipe,DWC Conduit Pipe Accessories,
SADD-0009-Infraduct,DWC Saddle - 50mm-Infraduct,GI Saddle,Conduit Pipe,DWC Conduit Pipe Accessories,
ACCR-0025-Infraduct,"DWC Elbow - Black, UV Protected - 50mm-Infraduct",Elbow,Conduit Pipe,DWC Conduit Pipe Accessories,
ACCR-0026-Infraduct,"DWC T Bend - Black, UV Protected - 50mm-Infraduct",T Bend,Conduit Pipe,DWC Conduit Pipe Accessories,
COUP-0014-Infraduct,"DWC Coupler - Black, UV Protected - 50mm-Infraduct",Coupler,Conduit Pipe,DWC Conduit Pipe Accessories,
